pEC50,standardized,EC50,Target1
9.7447271,Clc1cnc(C(C(S(=O)(=O)Nc2n(-c3c(OC)ncnc3OC)c(-c3cnccc3)nn2)C)C)cc1,0.18000016367105756,1
8.3010302,S(=O)(=O)(c1ccc(-c2c(C)nccc2)cc1)C1=C(O)N(C(CC)c2ccc(F)cc2)C(CCCC)=NC1=O,4.999997647495204,1
8.3010302,S(=O)(=O)(c1ccc(-c2c(C)cncc2)cc1)C1=C(O)N(C(CC)c2ccccc2)C(COC(C)C)=NC1=O,4.999997647495204,1
7.4089355,FC(F)Oc1c(-n2c(N)nnc2-c2sc(F)cc2)cccc1,38.999990388933924,0
7.2596374,O(C)c1c(c(OC)ccc1)C=1C(O)=C(c2oc(Cn3cncc3)nn2)C(=O)NC=1CCCC,54.999988666255035,0
9.2218485,Clc1cnc(C(OC(C)C)C(S(=O)(=O)Nc2n(c(-c3nc(OC)ccc3)nn2)C2CC2)C)nc1,0.6000003448578396,1
8.2596369,O(C)c1c(c(OC)ccc1)C=1C(O)=C(c2oc(CN3C(=O)OCC3)nn2)C(=O)NC=1CCCC,5.500005198736845,1
9.167491,Clc1cnc(C(OC)C(S(=O)(=O)Nc2n(-c3c(OC)cccc3OC)c(-c3c4n(nc3)C=CC=C4)nn2)C)nc1,0.6800001366809105,1
8.3010302,S(=O)(=O)(c1cc(-c2cnc(F)cc2)ccc1)C=1C(=O)N(c2c(OC)cccc2OC)C(CCC(C)C)=NC=1O,4.999997647495204,1
8.3010302,S(=O)(=O)(c1ccc(-c2c(C)cc(F)nc2)cc1)C1=C(O)N(C(COC)c2ccccc2)C(CCCC)=NC1=O,4.999997647495204,1
8.2596369,O(CC)CC1=C(c2c(OC)cccc2OC)C(O)=C(c2oc(Cn3nc(-c4ccccc4)cc3)nn2)C(=O)N1,5.500005198736845,1
8.3010302,S(=O)(=O)(c1ccc(N2C(=O)C=CC(C)=C2)cc1)C=1C(=O)N(c2c(CC)cccc2CC)C(CCCC)=NC=1O,4.999997647495204,1
7.8538718,S(=O)(=O)(Nc1n(CC2OCCCC2)c(-c2nc(OC)ccc2)nn1)C(C(OC(C)C)c1ncc(C)cn1)C,14.000005297108746,0
8.2596369,O(CC)CC1=C(c2c(OC)cccc2OC)C(O)=C(c2oc(Cc3noc4c3nccc4)nn2)C(=O)N1,5.500005198736845,1
9.3767509,S(=O)(=O)(Nc1n(-c2c(OC)cccc2OC)c(-c2cn(C)nc2)nn1)C(C(C)c1ncc(F)cn1)C,0.41999981586894675,1
9.4559317,S(=O)(=O)(Nc1n(-c2c(OC)cccc2OC)c(-c2nc(NC)ccc2)nn1)C(C(OC)c1ncc(C)cn1)C,0.3500002060293956,1
8.3010302,S(=O)(=O)(c1ccc(-c2c(C(O)=NC)cccc2)cc1)C1=C(O)N(C(c2cc(C#N)ccc2)C2CC2)C(COC(C)C)=NC1=O,4.999997647495204,1
10.522879,Fc1c(C2CN(C(=O)C3=C(O)N(c4c(CC)cccc4CC)C(c4nn(C)cc4)=NC3=O)CC2)nccc1,0.029999982404594255,1
6.1366773,Clc1cnc(C(C(S(=O)(=O)Nc2n(-c3c(OC)ncnc3OC)c(C3COC3)nn2)C)C)nc1,729.9997308556385,0
8.3010302,S(=O)(=O)(c1ccc(-c2cc(F)cnc2)cc1)C=1C(=O)N(C(CC)c2cc(OC)ccc2)C(CCCC)=NC=1O,4.999997647495204,1
8.3010302,S(=O)(=O)(c1ccc(-c2c(C)nc(F)cc2)cc1)C1=C(O)N(C(c2cc(C#N)ccc2)C2CC2)C(CCCC)=NC1=O,4.999997647495204,1
7.2596374,Fc1c(F)ccc(Cc2oc(C3=C(O)C(c4cc(CC)ccc4)=C(CCCC)NC3=O)nn2)c1,54.999988666255035,0
8.0915146,Clc1cnc(C(OC)C(S(=O)(=O)Nc2n(-c3c(OC)cccc3OC)c(C3CCC(C#N)CC3)nn2)C)nc1,8.10000710827427,1
8.3010302,S(=O)(=O)(c1cc(F)c(-c2c(C)cncc2)cc1)C=1C(=O)N(C(COC)c2ccccc2)C(COCC)=NC=1O,4.999997647495204,1
9.1366768,S(=O)(=O)(Nc1n(-c2c(OC)cccc2OC)c(-c2nc(OC)ccc2)nn1)CC(O)c1nc2n(c1)C=CC=C2,0.7300005712993708,1
6.6777806,Clc1cnc(C(C(S(=O)(=O)Nc2n(-c3c(OC)ncnc3OC)c(CC3COC3)nn2)C)C)nc1,210.0000509006688,0
